Column,code,product_name,generic_name,quantity,packaging_en,packaging_text,brands,brands_tags,categories,categories_tags,labels,labels_tags,first_packaging_code_geo,stores,ingredients_text,ingredients_analysis_tags,allergens,allergens_en,traces,traces_tags,traces_en,serving_size,serving_quantity,additives_n,additives,additives_tags,nutriscore_score,nutriscore_grade,nova_group,ecoscore_score,ecoscore_grade,nutrient_levels_tags,product_quantity,image_url,image_small_url,energy_kj_100g,energy_kcal_100g,energy_100g,energy_from_fat_100g,fat_100g,saturated_fat_100g,butyric_acid_100g,caproic_acid_100g,caprylic_acid_100g,capric_acid_100g,lauric_acid_100g,myristic_acid_100g,palmitic_acid_100g,stearic_acid_100g,arachidic_acid_100g,behenic_acid_100g,lignoceric_acid_100g,cerotic_acid_100g,montanic_acid_100g,melissic_acid_100g,unsaturated_fat_100g,monounsaturated_fat_100g,omega_9_fat_100g,polyunsaturated_fat_100g,omega_3_fat_100g,omega_6_fat_100g,alpha_linolenic_acid_100g,eicosapentaenoic_acid_100g,docosahexaenoic_acid_100g,linoleic_acid_100g,arachidonic_acid_100g,gamma_linolenic_acid_100g,dihomo_gamma_linolenic_acid_100g,oleic_acid_100g,elaidic_acid_100g,gondoic_acid_100g,mead_acid_100g,erucic_acid_100g,nervonic_acid_100g,trans_fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,added_sugars_100g,sucrose_100g,glucose_100g,fructose_100g,lactose_100g,maltose_100g,maltodextrins_100g,starch_100g,polyols_100g,erythritol_100g,fiber_100g,soluble_fiber_100g,insoluble_fiber_100g,proteins_100g,casein_100g,serum_proteins_100g,nucleotides_100g,salt_100g,added_salt_100g,sodium_100g,alcohol_100g,vitamin_a_100g,beta_carotene_100g,vitamin_d_100g,vitamin_e_100g,vitamin_k_100g,vitamin_c_100g,vitamin_b1_100g,vitamin_b2_100g,vitamin_pp_100g,vitamin_b6_100g,vitamin_b9_100g,folates_100g,vitamin_b12_100g,biotin_100g,pantothenic_acid_100g,silica_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g,taurine_100g,ph_100g,fruits_vegetables_nuts_100g,fruits_vegetables_nuts_dried_100g,fruits_vegetables_nuts_estimate_100g,fruits_vegetables_nuts_estimate_from_ingredients_100g,collagen_meat_protein_ratio_100g,cocoa_100g,chlorophyl_100g,carbon_footprint_100g,carbon_footprint_from_meat_or_fish_100g,nutrition_score_fr_100g,nutrition_score_uk_100g,glycemic_index_100g,water_hardness_100g,choline_100g,phylloquinone_100g,beta_glucan_100g,inositol_100g,carnitine_100g,sulphate_100g,nitrate_100g,acidity_100g
992,131081954,Trader joe’s  very green smoothie,,,,,Trader joe’s,trader-joe-s,,,,,,,,,,,,,,473.0g,473.0,,,,,unknown,,,unknown,,,,,,57.0824524312896,239.0,,0.105708245243129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.107822410148,,,,,,,,,,,,0.634249471458774,,,0.634249471458774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,1526,Sliced Sourdough Bread,,24 oz,,,Trader Joe's,trader-joe-s,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Sliced breads","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:sliced-breads","Organic, EU Organic, FR-BIO-01","en:organic,en:eu-organic,en:fr-bio-01",,,"UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, SALT, MALTED BARLEY FLOUR.","en:palm-oil-free,en:vegan-status-unknown,en:vegetarian-status-unknown",en:gluten,,"en:eggs,en:nuts,en:soybeans","en:eggs,en:nuts,en:soybeans","Eggs,Nuts,Soybeans",43 g,43.0,0.0,,,0.0,b,3.0,79.0,b,"en:fat-in-low-quantity,en:saturated-fat-in-low-quantity,en:sugars-in-low-quantity,en:salt-in-moderate-quantity",680.388555,https://images.openfoodfacts.org/images/products/00001526/front_en.11.400.jpg,https://images.openfoodfacts.org/images/products/00001526/front_en.11.200.jpg,,233.0,972.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,51.2,0.0,0.0,,,,,,,,,,2.33,,,9.3,,,,1.34,,0.535,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.00326,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,
1061,1816,Organic Flourless Sprouted 7-Grain Bread,,,,,Trader Joe's,trader-joe-s,,,Organic,en:organic,,Trader Joe's,"Organic sprouted wheat, filtered water, organic malted barley, organic malted barley, organic sprouted rye, organic sprouted barley, organic sprouted oats, organic sprouted millet, organic sprouted corn, organic sprouted brown rice, yeast, organic wheat gluten, sea salt.","en:palm-oil-free,en:vegan-status-unknown,en:vegetarian-status-unknown",,,,,,34 g (1.2 oz),34.0,0.0,,,,unknown,4.0,,unknown,,,,,,235.0,983.0,,2.94,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,44.12,2.94,,,,,,,,,,,8.8,,,11.76,,,,0.6731,,0.26924,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,0.00318,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1075,1977,Sel de guérande à l’ail des ours,,24 oz,,,Trader Joe's,trader-joe-s,,,,,,Trader Joe's,trader joe's cracked wheat sourdough bread,"en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",,,,,,,,0.0,,,,unknown,,,unknown,,680.388555,https://images.openfoodfacts.org/images/products/00001977/front_en.19.400.jpg,https://images.openfoodfacts.org/images/products/00001977/front_en.19.200.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1125,249048214,Roasted garlic hummus,,,,,Trader Joe’s,trader-joe-s,,,,,,,,,,,,,,28.600000381469727g,28.6000003814697,,,,,unknown,,,unknown,,,,,,214.285714285714,897.0,,16.0714285714286,1.78571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2857142857143,3.57142857142857,,,,,,,,,,,3.57142857142857,,,7.14285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,260814065,Gluten free multigrain bread,,,,,Trader Joe’s,trader-joe-s,,,,,,,,,,,,,,36.0g,36.0,,,,,unknown,,,unknown,,,,,,100.0,418.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,3.0,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,267859403,Organic Chicken Nuggets,,,,,Trader Joe’s,trader-joe-s,,,,,,,,,,,,,,79.0g,79.0,,,,,unknown,,,unknown,,,,,,227.848101265823,953.0,,12.6582278481013,3.79746835443038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4556962025316,1.26582278481013,,,,,,,,,,,,,,12.6582278481013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,333650323,Vegetable Melange,,,,,Trader Joe’s,trader-joe-s,,,,,,,,,,,,,,100.0g,100.0,,,,,unknown,,,unknown,,,,,,60.0,251.0,,3.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.0,,,,,,,,,,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,335667404,Cacio and Pepe Ravioli,,,,,Trader Joe’s,trader-joe-s,,,,,,,,,,,,,,83.0g,83.0,,,,,unknown,,,unknown,,,,,,220.0,920.0,,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,5.0,,,,,,,,,,,1.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,337616783,Garlic Naan,,,,,Trader Joe’s,trader-joe-s,,,,,,,,,,,,,,85.0g,85.0,,,,,unknown,,,unknown,,,,,,294.117647058824,1231.0,,4.11764705882353,1.76470588235294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.2941176470588,3.52941176470588,,,,,,,,,,,3.52941176470588,,,8.23529411764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
